epoch,train_loss,train_acc,val_loss,val_acc
1,0.6617839889866965,0.7146118721461188,0.8235059579213461,0.6666666666666666
2,0.4650967759745462,0.8264840182648402,0.7724767128626505,0.6794871794871795
3,0.39276422773088726,0.865296803652968,0.7226157585779825,0.6923076923076923
4,0.36110387423208784,0.865296803652968,0.701833705107371,0.7051282051282052
5,0.31837995776108335,0.8721461187214612,0.8454715609550476,0.717948717948718
6,0.3466160776359694,0.867579908675799,0.804155151049296,0.6923076923076923
7,0.27989903731005533,0.9041095890410958,0.82918248573939,0.6923076923076923
8,0.24871921858617238,0.908675799086758,0.6590595046679179,0.7435897435897436
9,0.23119634709187917,0.9223744292237442,0.7969918449719747,0.7307692307692307
10,0.27274600842169355,0.9155251141552512,0.8344659606615702,0.6923076923076923
