epoch,train_loss,train_acc,val_loss,val_acc
1,0.5502554305962154,0.7831050228310502,0.9714184800783793,0.6025641025641025
2,0.37881990735019955,0.8561643835616438,0.7057996988296509,0.6794871794871795
3,0.26783628442457746,0.9178082191780822,0.8034782210985819,0.717948717948718
4,0.23018003414784158,0.9223744292237442,0.8603754838307699,0.6794871794871795
5,0.17633296017135894,0.9474885844748858,0.8499932289123535,0.7051282051282052
6,0.1493217647075653,0.9748858447488584,0.7593865195910136,0.6923076923076923
7,0.11992721632122993,0.9771689497716894,0.7530108690261841,0.6923076923076923
8,0.10233868179576737,0.9726027397260274,0.8110385338465372,0.6923076923076923
9,0.11613189695136887,0.9771689497716894,0.9640308419863383,0.6666666666666666
10,0.09749309532344341,0.9726027397260274,1.0136883060137432,0.6410256410256411
