epoch,train_loss,train_acc,val_loss,val_acc
1,0.9720349993024554,0.6141552511415526,0.8128180503845215,0.6794871794871795
2,0.9082480541297367,0.639269406392694,0.7676880160967509,0.7051282051282052
3,0.7938911148480007,0.6712328767123288,0.7808484633763632,0.6282051282051282
4,0.8468138490404401,0.6712328767123288,0.763806144396464,0.6923076923076923
5,0.7955475066389356,0.6484018264840182,0.7768327991167704,0.6538461538461539
6,0.7984861220632281,0.6735159817351598,0.7104737361272176,0.6666666666666666
7,0.7697879331452506,0.726027397260274,0.7716149886449178,0.6538461538461539
8,0.7246128448418209,0.726027397260274,0.8278572758038839,0.6538461538461539
9,0.6912784853151867,0.7146118721461188,0.7275245189666748,0.7435897435897436
10,0.648581543139049,0.7328767123287672,0.7641780376434326,0.6666666666666666
