epoch,train_loss,train_acc,val_loss,val_acc
1,0.6291610822081566,0.7557077625570776,0.7792912324269613,0.6923076923076923
2,0.36796807071992327,0.8721461187214612,0.6916299859682719,0.6923076923076923
3,0.2810797467827797,0.910958904109589,0.8204472661018372,0.6794871794871795
4,0.23590720019170217,0.9337899543378996,0.7561257282892863,0.6794871794871795
5,0.1718725317290851,0.9611872146118722,0.7466421326001486,0.7051282051282052
6,0.15158789604902267,0.9611872146118722,0.731438934803009,0.6923076923076923
7,0.12710475602320262,0.9680365296803652,0.8433403372764587,0.6666666666666666
8,0.10907872979130064,0.9748858447488584,0.752041757106781,0.6923076923076923
9,0.09427555198115962,0.9840182648401826,0.7708406448364258,0.6538461538461539
10,0.09124857506581716,0.9817351598173516,0.8524166345596313,0.6923076923076923
