epoch,train_loss,train_acc,val_loss,val_acc
1,0.632227395262037,0.7328767123287672,0.9198733568191528,0.6282051282051282
2,0.5208301778350558,0.7853881278538812,0.7932283480962118,0.6538461538461539
3,0.4077350135360445,0.8561643835616438,0.7974729339281718,0.6923076923076923
4,0.3419043379170554,0.8835616438356164,0.7524566054344177,0.6923076923076923
5,0.3025764993258885,0.8812785388127854,0.8218936522801717,0.6666666666666666
6,0.28385759464332033,0.908675799086758,0.7001864314079285,0.717948717948718
7,0.24801732386861527,0.9178082191780822,0.7066381772359213,0.6923076923076923
8,0.23491995196257318,0.9155251141552512,0.7489060958226522,0.717948717948718
9,0.26618937136871473,0.9041095890410958,0.8682941794395447,0.6794871794871795
10,0.25756473200661795,0.9018264840182648,0.9306095639864603,0.6923076923076923
