epoch,train_loss,train_acc,val_loss,val_acc
1,0.9652532168797084,0.5776255707762558,0.8212142586708069,0.6538461538461539
2,0.7643851382391793,0.6940639269406392,0.8479631543159485,0.6410256410256411
3,0.7798205656664712,0.6712328767123288,0.8242443799972534,0.6282051282051282
4,0.7403526817049298,0.7077625570776256,0.7787580291430155,0.6666666666666666
5,0.6763891620295388,0.7374429223744292,0.7997260093688965,0.6666666666666666
6,0.7064939439296722,0.7100456621004566,0.7299940784772238,0.7051282051282052
7,0.7011922001838684,0.7123287671232876,0.72487739721934,0.7307692307692307
8,0.7113284851823535,0.7146118721461188,0.7279657125473022,0.6923076923076923
9,0.6371579319238663,0.7374429223744292,0.690407931804657,0.6923076923076923
10,0.6465088171618325,0.7625570776255708,0.7177015145619711,0.6794871794871795
