epoch,train_loss,train_acc,val_loss,val_acc
1,0.6675494079078946,0.728310502283105,0.8722764452298483,0.6410256410256411
2,0.562410546200616,0.7808219178082192,0.7547983328501383,0.6538461538461539
3,0.480086264865739,0.8059360730593608,0.831471840540568,0.6538461538461539
4,0.43164266433034626,0.8424657534246576,0.8075184226036072,0.6538461538461539
5,0.3974552984748568,0.8515981735159818,0.8196703592936198,0.6923076923076923
6,0.38647186969007763,0.863013698630137,0.6878004471460978,0.6923076923076923
7,0.35388485342264175,0.8789954337899544,0.7787492473920187,0.6538461538461539
8,0.3438552128417151,0.8584474885844748,0.7692809899648031,0.6923076923076923
9,0.33523352657045635,0.8789954337899544,0.8440027236938477,0.7051282051282052
10,0.30823493961777004,0.8904109589041096,0.8219045996665955,0.717948717948718
