epoch,train_loss,train_acc,val_loss,val_acc
1,0.5343543780701501,0.7853881278538812,0.7185015877087911,0.6923076923076923
2,0.47982457280158997,0.819634703196347,0.7933166821797689,0.6025641025641025
3,0.4292208445923669,0.8264840182648402,0.7501847147941589,0.717948717948718
4,0.4190747205700193,0.865296803652968,0.7014893094698588,0.6666666666666666
5,0.39298890850373674,0.8493150684931506,0.6540028055508932,0.7307692307692307
6,0.31714113375970293,0.8835616438356164,0.6707160671552023,0.6538461538461539
7,0.28883443027734756,0.9018264840182648,0.7106363972028097,0.6794871794871795
8,0.30642523084368023,0.8949771689497716,0.6925966342290243,0.6923076923076923
9,0.23764099180698395,0.9018264840182648,0.8561057845751444,0.7051282051282052
10,0.28453240011419567,0.8995433789954338,0.843436082204183,0.6538461538461539
