epoch,train_loss,train_acc,val_loss,val_acc
1,0.7024854464190347,0.723744292237443,0.8513572613398234,0.6410256410256411
2,0.5205688221114022,0.815068493150685,0.8190808892250061,0.6410256410256411
3,0.49954826278345926,0.7876712328767124,0.7329396804173788,0.6923076923076923
4,0.44366750759737833,0.8287671232876712,0.7158196767171224,0.6923076923076923
5,0.40285891188042505,0.8493150684931506,0.8296261429786682,0.7051282051282052
6,0.42976642293589457,0.8424657534246576,0.7796812256177267,0.7051282051282052
7,0.37856833211013247,0.8493150684931506,0.9276783068974813,0.6538461538461539
8,0.36538286400692804,0.8447488584474886,0.7441329757372538,0.6794871794871795
9,0.3453183738248689,0.865296803652968,0.8437283237775167,0.7051282051282052
10,0.37760574370622635,0.8698630136986302,0.8189062078793844,0.6666666666666666
