epoch,train_loss,train_acc,val_loss,val_acc
1,0.523342598761831,0.8264840182648402,0.7850563128789266,0.6794871794871795
2,0.34324249625205994,0.867579908675799,0.8104978402455648,0.6538461538461539
3,0.26139254442283083,0.9178082191780822,0.7151798407236735,0.717948717948718
4,0.26405589069638935,0.9178082191780822,0.7535400787989298,0.7051282051282052
5,0.17835334901298797,0.9452054794520548,0.7192779183387756,0.7051282051282052
6,0.13728000117199762,0.9748858447488584,0.7463691830635071,0.6923076923076923
7,0.11932433449796268,0.9657534246575342,0.7956709464391073,0.7051282051282052
8,0.1084702650883368,0.9748858447488584,0.8626565138498942,0.6794871794871795
9,0.08247470802494458,0.9817351598173516,0.8216525912284851,0.6923076923076923
10,0.07849269892488207,0.9817351598173516,0.882280707359314,0.6410256410256411
